customer_id,name,email,phone,location,sign_up_date
CUST135,Customer 135,customer135@example.com,555-01135,Sydney,2026-03-03
CUST136,Customer 136,customer136@example.com,555-01136,New York,2025-05-31
CUST137,Customer 137,customer137@example.com,555-01137,Austin,2025-08-21
CUST138,Customer 138,customer138@example.com,555-01138,Berlin,2024-12-11
CUST139,Customer 139,customer139@example.com,555-01139,Berlin,2026-02-17
CUST140,Customer 140,customer140@example.com,555-01140,Toronto,2024-08-31
CUST141,Customer 141,customer141@example.com,555-01141,London,2025-10-23
CUST142,Customer 142,customer142@example.com,555-01142,Austin,2026-03-30
CUST143,Customer 143,customer143@example.com,555-01143,Toronto,2025-09-01
CUST144,Customer 144,customer144@example.com,555-01144,Toronto,2026-06-08
CUST145,Customer 145,customer145@example.com,555-01145,London,2024-12-19
 CUST146 ,Customer 146,customer146@example.com,555-01146,London,2026-01-31
CUST147,Customer 147,customer147@example.com,555-01147,Berlin,2024-11-05
CUST148,Customer 148,customer148@example.com,555-01148,Toronto,2024-10-03
CUST149,Customer 149,customer149@example.com,555-01149,Sydney,2024-09-12
CUST150,Customer 150,customer150@example.com,555-01150,,2024-12-25
